WKT,name,description
"POINT (-75.63614 6.118463999999999)",Centro de Salud Santa Isabel De Hungría,
"POINT (-75.5649251 5.8712686)",Hospital Santa Maria,
"POINT (-75.6344488 6.0869501)",ESE Hospital San Vicente de Paúl Caldas,
"POINT (-75.703149 6.0422259)",HSF ESE Hospital San Fernando,
"POINT (-75.50371 6.05615)",San Juan De Dios,
"POINT (-75.6878337 5.9343356)",ESE HOSPITAL SANTA LUCIA,
"POINT (-75.63614 6.118463999999999)",Centro de Salud Santa Isabel De Hungría,
"POINT (-75.7349771 5.9647257)",San Rafael Hospital Venice,
"POINT (-75.7089568 6.1103806)",Hospital La Misericordia,
"POINT (-75.6343493 6.083939)",Hospital De Caldas sede barrios unidos,
"POINT (-75.63691299999999 6.0914472)",Coomeva,
"POINT (-75.52308719999999 5.9486656)",E.S.E. HOSPITAL SAN ANTONIO,
"POINT (-75.8207351 5.866100599999999)",E.S.E Hospital San Pablo,
"POINT (-75.63436879999999 6.090106)",Policlínico Sur S.A - Calidad de Vida,
"POINT (-75.6715359 5.9258314)",CEMIS,
"POINT (-75.6985886 6.069280099999999)",CENTRO DE SALUD DE MINAS HOSPITAL SAN FERNANDO,
"POINT (-75.8208243 5.865882699999999)",Hospital De Tarso,
"POINT (-75.6376562 6.090840300000001)",Consultorio Médico Dr Joaquin Castaño Alzate,
"POINT (-75.636755 6.0917201)",Promedan IPS Caldas,
"POINT (-75.50298819999999 6.057919)",Cis Comfama Retiro,
"POINT (-75.635975 6.088295599999999)",Emp,
"POINT (-75.5615922 6.1449715)",clinica ces,
"POINT (-75.7046192 6.0404455)",CLÍNICA DEL TRABAJO IPS,
"POINT (-75.46972559999999 6.0961609)",Fundacion Ipsi,
"POINT (-75.6361312 6.091912)",Nueva EPS,
"POINT (-75.5673896 5.874172499999999)",Caldas odontox,
"POINT (-75.79341 6.06259)",Hospital San Juan de Dios de Titiribí,
